ID,Address,Latitude,Longitude,Sensor_type
BY050010003,Masiukoŭščyna,53.925516,27.489385,AirMQ
BY050010010,AirMQ,53.85326940995282,27.614454925060272,AirMQ
BY050010017,Hrušauka,53.890208,27.523866,AirMQ
BY050010019,C55,53.92872,27.548015,AirMQ
BY050010022,Arlouka,53.9321,27.547,AirMQ
BY050010030,Жукоўскага,53.87876,27.55085,AirMQ
BY050010034,Casa das flores,53.951396,27.611865,AirMQ
BY050010036,AirMQNaGolodeda,53.83953914801663,27.64119118452072,AirMQ
BY050010039,AirMQ,53.912635,27.566932,AirMQ
BY050010040,Uručča,53.9454111,27.6712061,AirMQ
BY050010043,Плошча Перамогi,53.907701,27.576988,AirMQ
BY050010058,Асмалоўка 1,53.914098,27.564757,AirMQ
BY050010061,Гiнтаўта,53.9481326,27.6686633,AirMQ
BY050010068,AirMQ Gikalo,53.91259569,27.59227256,AirMQ
BY050010072,Serabranka,53.859714,27.5918053,AirMQ
BY050010077,dom105,53.9063032,27.4303031,AirMQ
BY050010081,Malinauka,53.849251102656126,27.44169996120036,AirMQ
BY050010084,AirMQ_Out,53.89748666666667,27.571895,AirMQ
BY050010085,3B,53.9243,27.61035,AirMQ
BY050010092,Мулявiна,53.915369,27.586202,AirMQ
BY050010101,Losik,53.873553,27.44187,AirMQ
BY050010107,Test device,53.88799763980633,27.50367801636457,AirMQ
BY050010108,Скрыпнiкава 28,53.8965645,27.4234221,AirMQ
BY050060064,AirMQГатава,53.78299117,27.62943201,AirMQ
BY050080113,AirMQ_Zaslaŭ'e,54.0109666,27.2668815,AirMQ
BY050090088,AirMQ Kalodziščy Palihon,53.9049446,27.7817737,AirMQ
BY050100086,AirMQ Markaŭščyna,54.08590953866003,27.599996812641617,AirMQ
BY050300015,Копище,53.95843031374462,27.672667577862743,AirMQ
BY050310055,AirMQ на Магiлеускай,53.8581278,27.6881072,AirMQ
BY050320082,AirMQ,53.94055763520529,26.88076749444008,AirMQ
BY050010056,Brilevskaya,53.87542275711894,27.53110016696155,AirMQ
BY050010069,Роменская,53.864368,27.564086,AirMQ
BY050010089,Шаранговiча 59к2,53.87993694747345,27.43501916527748,AirMQ
BY050130098,Staubcy,53.495727,26.733379,AirMQ
BY050170095,AirMQ,54.2862384257513,26.84541262686253,AirMQ
BY050010071,AirMQ JM,53.8990959,27.4924717,AirMQ
BY050110116,AirMQ Ratamka,53.9436576096341,27.36433155834675,AirMQ
BY050020100,"Вишневка, ул. Школьная",54.05824570693352,27.55631536245346,AirMQ
BY050040106,Bolshevik,54.0179585,27.5890934,AirMQ
BY050010006,Радио,53.91084721580091,27.56888754665852,AirMQ
BY040080090,Zales'e,54.42853584396447,26.554353386163708,AirMQ
BY050010000,AirMQ,53.84729808266268,27.4971853941679,AirMQ
BY050010001,Pushkina_23,53.89861927762229,27.496472597122192,AirMQ
BY050010091,Уручье-ул-Садовая,53.94327744716134,27.710445150732998,AirMQ
BY050010123,Kizhevatova,53.8561517261482,27.53694746643305,AirMQ
BY050010160,Насупраць бiблiятэкi,53.933893524117856,27.64483697712421,AirMQ
BY050010169,Завулак Казлова,53.900217229021465,27.598379775881767,AirMQ
BY050010171,AirMQ_YZ,53.85926381146682,27.47457705438137,AirMQ
BY050010179,AirMQ,53.86769541469703,27.515550144016743,AirMQ
BY050050079,AirMQ Barysaŭ,54.2143005,28.4746374,AirMQ
BY050230189,Baraŭliany,53.98777155281573,27.678928188979626,AirMQ
BY050270175,AirMQ,53.81932383865314,27.80702780932188,AirMQ
BY050330067,AirMQ_S4uki,54.40076499505749,27.19880271703005,AirMQ
BY050010011,Менделеева,53.9012869,27.6216925,AirMQ
BY050010027,Levkova 33,53.875781,27.556314,AirMQ
BY050010122,Машерова 51,53.91136128478805,27.5287801399827,AirMQ
BY050010155,Filatova,53.870909040352096,27.631503380835056,AirMQ
BY050010181,AirMQ_?,53.882449,27.420481,AirMQ
BY050060172,AirMQ,53.785758205953066,27.624717392027375,AirMQ
BY050190052,"Жодино, Автозаводской переулок. ",54.09767974900363,28.31205323338509,AirMQ
BY050190121,Sudabovka,54.0855354831172,28.3467573300004,AirMQ
BY050260165,Ihumien_AIR,53.72050685382396,28.41535549610853,AirMQ
BY050280119,Ostrov,53.60402999248375,27.918188944458965,AirMQ
BY050290156,Usyaz,54.0772713782515,28.004296906292435,AirMQ
BY050340134,AirMQМихановичи,53.72755311753822,27.691871188580983,AirMQ
BY050360141,Trostenets,53.85546868954069,27.70102690905333,AirMQ
BY050010050,AirMQ-custom,53.91094438184164,27.635109946131703,AirMQ
BY050010051,Suh39-1fl,53.886734362532486,27.42085073143244,AirMQ
BY050010174,AirMQ,53.86041323520514,27.563008479774,AirMQ
BY050010150,AirMQ,53.92282596578613,27.432503253221512,AirMQ
BY050010151,Orion Palace,53.84047684805357,27.70472332835197,AirMQ
BY050190110,AirMQ-9,54.09187823798914,28.31008918583393,AirMQ
BY050010028,Ангарская,53.86463971093161,27.67622049897909,AirMQ
BY050010046,Белая Вежа,53.918915,27.565665,AirMQ
BY050300021,AirMQ,53.96123496311672,27.67430104315281,AirMQ
BY050010177,25Fl,53.941971,27.597189,AirMQ
BY050010012,Маяковского (Полевая),53.87436752398808,27.566212378442287,AirMQ
BY050010047,ChailitkoAirMQ,53.88801285502026,27.436827979981903,AirMQ
BY050010182,Славинского,53.94200419781477,27.63033527880907,AirMQ
268492u,"ул. Аэродромная, 30 в Минске",53.8713,27.5525,rp5
268493u,"ул. Якубова, 48/4",53.857,27.5937,rp5
268494u,"проспект Дзержинского, 127 в Минске",53.8465,27.4748,rp5
268498u,"проспект Рокоссовского, 78 в Минске",53.865,27.6032,rp5
268499u,"Журавинка-Садовый (ст), 37 в Узденском районе",53.543,27.3897,rp5
268503u,"ул. Максима Богдановича, 58Б в Минске",53.9197,27.5688,rp5
268505u,"ул. Максима Богдановича, 142 в Минске",53.9393,27.5857,rp5
268506u,"ул. Леонида Беды, 26 в Минске",53.9353,27.593,rp5
268507u,"ул. Леонида Беды, 38 в Минске",53.939,27.5958,rp5
268508u,"ул. Кирова, 28 в Минске",53.9,27.5667,rp5
268509u,"ул. Нёманская, 6А в Минске",53.9097,27.428,rp5
268511u,"Княгининский переулок, 9 в Минске",53.9377,27.4625,rp5
268517u,"Форт (ст), 7 в Минском районе",53.995,27.2317,rp5
268520u,"ул. Жемчужная, 22 в Колодищах в Минском районе",53.9447,27.7553,rp5
268523u,"ул. Леонида Беды, 38 (2) в Минске",53.939,27.5958,rp5
268524u,"Воловщина, 29 в Минском районе",53.9687,27.2517,rp5
268529u,"ул. Тимошенко, 10 в Минске",53.9053,27.4623,rp5
268530u,"ул. Весенняя, 4 в Раубичах в Минском районе",54.0657,27.7848,rp5
268531u,"ул. Каштановая, 6 в мкр. Цна в Минске",53.9683,27.5937,rp5
268534u,"ул. Центральная, 42 в Лапоровичах в Минском районе",54.0018,27.3792,rp5
268537u,"ул. Кольцова, 19А в Минске",53.9513,27.6117,rp5
268538u,"ул. Нестерова, 62 в Минске",53.8843,27.6877,rp5
268539u,"ул. Ясная Поляна, 45 в Липовой Колоде в Минском районе",53.919,27.8725,rp5
268545u,"ул. Светлая, 21 в Колодищах в Минском районе",53.9127,27.7802,rp5
268546u,"ул. Зацень, 11А в Минске",53.966,27.5085,rp5
268547u,"ул. Зацень, 59 в Минске",53.9567,27.5065,rp5
268549u,"ул. Земляничная, 10 в Раубичах в Минском районе",54.0673,27.7768,rp5
268550u,"ул. Князя Острожского, 2 в Колодищах в Минском районе",53.9487,27.7492,rp5
26842,Шаранговича,53.884,27.442,Belhydromet
26843,Самохваловичи,53.75,27.5,Belhydromet
26850,Уручье,53.96,27.7,Belhydromet
26851,Независимости,53.929,27.635,Belhydromet
26852,Тимирязева,53.913,27.523,Belhydromet
26854,Корженевского,53.843,27.52,Belhydromet
26856,Богдановича,53.949,27.597,Belhydromet
26857,Бобруйская,53.889,27.558,Belhydromet
26858,Радиальная,53.896,27.644,Belhydromet
